,板块名称,动量分值,动量排名,排名变化
0,中药,4.32,1,1.0
1,计算机应用,4.25,2,-1.0
2,钢铁,3.13,3,5.0
3,建筑装饰,2.88,4,6.0
4,养殖业,2.56,5,9.0
5,贵金属,2.27,6,-1.0
6,港口航运,1.88,7,32.0
7,公路铁路运输,1.88,8,5.0
8,医药商业,1.53,9,0.0
9,银行,1.52,10,13.0
10,煤炭开采加工,1.44,11,4.0
11,传媒,1.38,12,-6.0
12,国防军工,1.31,13,-10.0
13,电子化学品,1.2,14,-2.0
14,石油加工贸易,0.96,15,11.0
15,半导体及元件,0.94,16,-12.0
16,物流,0.75,17,10.0
17,仪器仪表,0.73,18,-2.0
18,专用设备,0.73,19,3.0
19,电力,0.68,20,1.0
20,医疗器械,0.67,21,-1.0
21,通信设备,0.58,22,-15.0
22,化学制药,0.53,23,25.0
23,食品加工制造,0.45,24,8.0
24,通信服务,0.44,25,-8.0
25,计算机设备,0.43,26,-15.0
26,油气开采及服务,0.43,27,24.0
27,服装家纺,0.4,28,1.0
28,工业金属,0.4,29,-10.0
29,小家电,0.39,30,6.0
30,黑色家电,0.36,31,-6.0
31,消费电子,0.27,32,-4.0
32,饮料制造,0.19,33,2.0
33,教育,0.19,34,18.0
34,汽车整车,0.17,35,-11.0
35,电力设备,0.15,36,14.0
36,房地产开发,0.15,37,25.0
37,零售,0.13,38,-1.0
38,汽车零部件,0.12,39,1.0
39,酒店及餐饮,0.11,40,1.0
40,自动化设备,0.11,41,1.0
41,白色家电,0.11,42,15.0
42,厨卫电器,0.11,43,0.0
43,通用设备,0.1,44,-1.0
44,农产品加工,0.1,45,-14.0
45,非汽车交运,0.09,46,-2.0
46,家用轻工,0.09,47,7.0
47,包装印刷,0.09,48,-14.0
48,光学光电子,0.09,49,-19.0
49,生物制品,0.08,50,-4.0
50,机场航运,0.08,51,-33.0
51,医疗服务,0.08,52,9.0
52,汽车服务,0.07,53,-6.0
53,农业服务,0.06,54,-5.0
54,景点及旅游,0.05,55,-22.0
55,建筑材料,0.05,56,7.0
56,美容护理,0.04,57,0.0
57,化学制品,0.04,58,-2.0
58,环保,0.03,59,-1.0
59,保险及其他,0.03,60,-1.0
60,证券,0.02,61,-1.0
61,化工合成材料,0.01,62,-7.0
